,Count,word
1045,23,corrupt
1046,23,replace
1047,23,the republican party
1048,23,deals
1049,23,sunday
1050,23,treated
1051,23,republicans
1052,23,me for
1053,23,kaine
1054,23,oreillyfactor tonight
1056,23,trump has
1057,23,poll thank you
1058,23,seanhannity tonight
1059,22,is totally
1060,22,the real
1061,22,cnnpolitics
1062,22,iraq
1064,22,wall street
1065,22,on oreillyfactor
1066,22,on his
1069,22,the other
1071,22,with you
1072,22,rt drudgereport
1073,22,megyn
1074,22,on illegal
1075,22,voter
1076,22,hate
1077,22,mike
1078,22,future
1079,22,looks like
1080,22,vote trump
1081,22,packed
1082,22,elizabeth warren
1083,22,happened
1084,22,i want to
1085,22,should have
1086,22,dollars
1087,22,easy
1088,22,ben carson
1089,22,day in
1092,22,what is
1093,22,head
1095,22,nbcsnl
1096,22,bad judgement
1097,22,crime
1098,22,november
1099,22,super
1100,22,is doing
1101,22,honor to
1102,22,i hear
1103,22,on illegal immigration
1104,22,trump in
1105,22,lobbyists
1106,22,heard
1107,22,team
1108,22,the nice
1109,22,liar
1112,22,lyin ted cruz
1113,22,at pm enjoy
1114,22,at am enjoy
1115,22,and his
1116,22,fighting
1117,22,i had
1118,22,common
1119,22,dallas
1120,22,be president
1121,22,security
1122,22,and make
1123,22,calls
1124,22,realdonaldtrump great
1125,22,the race
1126,22,nomination
1127,21,online
1128,21,trump i
1129,21,the first
1130,21,has a
1131,21,huge
1132,21,weeks
1133,21,class
1134,21,great new
1136,21,reporter
1137,21,the nytimes
1138,21,time in
1139,21,ericbolling
1140,21,walker
1141,21,go trump
1142,21,fraud
1143,21,you new
1144,21,paid
1146,21,off the
1147,21,for my
1148,21,air
1149,21,of his
1150,21,a real
1152,21,goofy elizabeth
1153,21,georgia
1154,21,i have been
1155,21,set
1157,21,amnesty
1158,21,to say
1159,21,honored
1160,21,people who
1161,21,voted for
1162,21,joe
1163,21,out and vote
1164,21,he is a
1165,21,conference
1166,21,thanks for
1167,21,my vote
1169,21,in my
1170,21,lose
1171,21,afternoon
1172,21,obamas
1173,21,do not
